Region,Peak Demand (in %),% of time of year
National,100.0,0.0
Eastern Region,100.0,0.0
North-Eastern Region,100.0,0.0
Northen Region,100.0,0.0
Southern Region,100.0,0.0
Western Region,100.0,0.0
National,100.0,0.0
Eastern Region,100.0,0.0
North-Eastern Region,100.0,0.0
Northen Region,100.0,0.0
Southern Region,100.0,0.0
Western Region,100.0,0.0
National,100.0,0.0
Eastern Region,100.0,0.0
North-Eastern Region,99.0,0.0
Northen Region,100.0,0.0
Southern Region,100.0,0.0
Western Region,100.0,0.0
National,100.0,0.0
Eastern Region,100.0,0.0
North-Eastern Region,99.0,0.0
Northen Region,99.0,0.0
Southern Region,100.0,0.0
Western Region,100.0,0.0
National,100.0,0.0
Eastern Region,100.0,0.0
North-Eastern Region,99.0,0.0
Northen Region,99.0,0.0
Southern Region,100.0,0.0
Western Region,100.0,0.0
National,100.0,0.0
Eastern Region,99.0,0.0
North-Eastern Region,99.0,0.0
Northen Region,99.0,0.0
Southern Region,100.0,0.0
Western Region,100.0,0.0
National,100.0,0.0
Eastern Region,99.0,0.0
North-Eastern Region,98.0,0.0
Northen Region,99.0,0.0
Southern Region,100.0,0.0
Western Region,100.0,0.0
National,99.0,0.0
Eastern Region,98.0,0.0
North-Eastern Region,97.0,0.0
Northen Region,99.0,0.0
Southern Region,100.0,0.0
Western Region,100.0,0.0
National,99.0,0.0
Eastern Region,98.0,0.0
North-Eastern Region,97.0,0.0
Northen Region,99.0,0.0
Southern Region,100.0,0.0
Western Region,100.0,0.0
National,99.0,0.0
Eastern Region,98.0,0.0
North-Eastern Region,96.0,0.0
Northen Region,99.0,0.0
Southern Region,100.0,0.0
Western Region,100.0,0.0
National,99.0,0.0
Eastern Region,97.0,0.0
North-Eastern Region,96.0,0.0
Northen Region,98.0,0.0
Southern Region,100.0,0.0
Western Region,99.0,0.0
National,99.0,0.0
Eastern Region,97.0,0.0
North-Eastern Region,96.0,0.0
Northen Region,98.0,0.0
Southern Region,100.0,0.0
Western Region,99.0,0.0
National,98.0,0.0
