Datetime,Hourly Demand Met (in MW)
2024-05-30 00:00:00,230298.0
2024-05-30 01:00:00,226125.0
2024-05-30 02:00:00,220761.0
2024-05-30 03:00:00,216357.0
2024-05-30 04:00:00,213306.0
2024-05-30 05:00:00,213143.0
2024-05-30 06:00:00,211234.0
2024-05-30 07:00:00,209854.0
2024-05-30 08:00:00,211530.0
2024-05-30 09:00:00,220143.0
2024-05-30 10:00:00,231220.0
2024-05-30 11:00:00,238210.0
2024-05-30 12:00:00,240924.0
2024-05-30 13:00:00,242270.0
2024-05-30 14:00:00,244616.0
2024-05-30 15:00:00,248734.0
2024-05-30 16:00:00,242148.0
2024-05-30 17:00:00,232548.0
2024-05-30 18:00:00,218754.0
2024-05-30 19:00:00,218072.0
2024-05-30 20:00:00,222797.0
2024-05-30 21:00:00,223828.0
2024-05-30 22:00:00,227605.0
2024-05-30 23:00:00,230310.0
2025-06-10 00:00:00,229654.6
2025-06-10 01:00:00,224278.57
2025-06-10 02:00:00,219209.96
2025-06-10 03:00:00,215382.08
2025-06-10 04:00:00,211612.94
2025-06-10 05:00:00,209543.91
2025-06-10 06:00:00,208818.66
2025-06-10 07:00:00,207898.69
2025-06-10 08:00:00,208038.44
2025-06-10 09:00:00,214892.09
2025-06-10 10:00:00,224789.44
2025-06-10 11:00:00,227130.82
2025-06-10 12:00:00,228944.21
2025-06-10 13:00:00,229184.22
2025-06-10 14:00:00,234589.09
2025-06-10 15:00:00,240363.1
2025-06-10 16:00:00,235186.12
2025-06-10 17:00:00,230491.91
2025-06-10 18:00:00,221125.23
2025-06-10 19:00:00,220138.21
2025-06-10 20:00:00,226355.19
2025-06-10 21:00:00,228743.18
2025-06-10 22:00:00,230852.55
2025-06-10 23:00:00,232382.09
