Datetime,Hourly_Demand_MW
2024-05-30 00:00:00,210400
2024-05-30 01:00:00,208900
2024-05-30 02:00:00,207300
2024-05-30 03:00:00,206000
2024-05-30 04:00:00,207500
2024-05-30 05:00:00,212600
2024-05-30 06:00:00,220300
2024-05-30 07:00:00,228400
2024-05-30 08:00:00,236700
2024-05-30 09:00:00,240900
2024-05-30 10:00:00,243000
2024-05-30 11:00:00,245500
2024-05-30 12:00:00,246800
2024-05-30 13:00:00,247900
2024-05-30 14:00:00,248734
2024-05-30 15:00:00,247300
2024-05-30 16:00:00,246100
2024-05-30 17:00:00,244900
2024-05-30 18:00:00,242800
2024-05-30 19:00:00,240000
2024-05-30 20:00:00,236500
2024-05-30 21:00:00,232200
2024-05-30 22:00:00,226900
2024-05-30 23:00:00,220500
