Datetime,Demand_MW
2024-01-01 00:00:00,180000
2024-01-01 01:00:00,178500
2024-01-01 02:00:00,176200
2024-01-01 03:00:00,175900
2024-01-01 04:00:00,177400
2024-01-01 05:00:00,182000
2024-01-01 06:00:00,190500
2024-01-01 07:00:00,198000
2024-01-01 08:00:00,205200
2024-01-01 09:00:00,210400
2024-01-01 10:00:00,215600
2024-01-01 11:00:00,218300
2024-01-01 12:00:00,220000
2024-01-01 13:00:00,219500
2024-01-01 14:00:00,218200
2024-01-01 15:00:00,216000
2024-01-01 16:00:00,215100
2024-01-01 17:00:00,217400
2024-01-01 18:00:00,222600
2024-01-01 19:00:00,228900
2024-01-01 20:00:00,230200
2024-01-01 21:00:00,229000
2024-01-01 22:00:00,225700
2024-01-01 23:00:00,220300
